"","V1"
"1","MAP2K6"
"2","LOC100507250"
"3","PNMA3"
"4","DOC2GP"
"5","ZSCAN9"
"6","SNORA53"
"7","LOC100131289"
"8","MIR548I1"
"9","SNORD27"
"10","FUBP3"
"11","MIR5708"
"12","SLC25A20"
"13","MIR4440"
"14","MAMDC2"
"15","GPX3"
"16","LRP5L"
"17","SNORD21"
"18","ITGAD"
"19","SNORD63"
"20","TTC12"
"21","ZNF382"
"22","PCDHA13"
"23","SOSTDC1"
"24","FAM220A"
"25","KBTBD7"
"26","SYNE4"
"27","SCARNA7"
"28","OR4C16"
"29","PUSL1"
"30","FAM221A"
"31","SCD"
"32","RLN2"
"33","KLHDC9"
"34","HHEX"
"35","ZNF181"
"36","PLP1"
"37","GALNT12"
"38","ZNF570"
"39","SNORA7A"
"40","HSPA1L"
"41","GTF2E2"
"42","TPM1"
"43","CHUK"
"44","FOXP3"
"45","SNORA54"
"46","BORA"
"47","MINOS1P1"
"48","SIGLEC17P"
"49","GUSBP4"
"50","FAM212A"
"51","CHAC1"
"52","ETAA1"
"53","ZNF44"
"54","FBXL6"
"55","TMEM71"
"56","SNORD32A"
"57","ZNF350"
"58","OR4C46"
"59","SYCE1"
"60","SPRR3"
"61","PDCD2L"
"62","HIST1H3E"
"63","SNORD78"
"64","SNORD54"
"65","CD160"
"66","SNORD4A"
"67","CDK4"
"68","LOC400685"
"69","CCL17"
"70","SLC45A2"
"71","SNORD104"
"72","CC2D2B"
"73","OR2Z1"
"74","OR4D5"
"75","OR8B12"
"76","FLJ20021"
"77","FLVCR1.AS1"
"78","GSTP1"
"79","SNORD86"
"80","STEAP1"
"81","MAGOH2"
"82","HPYR1"
"83","BCAN"
"84","LOC100132781"
"85","TNNI2"
"86","SLPI"
"87","ZNF792"
"88","MIR3198.1"
"89","SNORD81"
"90","RNASE9"
"91","HEBP1"
"92","IFNA7"
"93","IFNW1"
"94","GAL"
"95","CCDC54"
"96","OR6Y1"
"97","NUDT11"
"98","ASPN"
"99","OR10K2"
"100","ATP1A3"
"101","TAAR6"
"102","CCDC126"
"103","NLGN4Y"
"104","METTL1"
"105","C10orf88"
"106","LHFPL3.AS1"
"107","OR5F1"
"108","ENG"
"109","SNORA12"
"110","HYAL3"
"111","MGST1"
"112","RAB30"
"113","PTP4A3"
"114","ZBTB9"
"115","MGC16025"
"116","RNU6.19"
"117","RPS10P7"
"118","SNORD15A"
"119","MIR3189"
"120","LDB2"
"121","SNORD47"
"122","ZNF550"
"123","TUBB4A"
"124","SIRT4"
"125","OR52I1"
"126","IL17D"
"127","TIPIN"
"128","VN1R1"
"129","ACTBL2"
"130","E2F5"
"131","SNORA27"
"132","A2M.AS1"
"133","TOB1.AS1"
"134","C10orf35"
"135","CDK3"
"136","SNORA10"
"137","LOC339894"
"138","LOC286442"
"139","OR10J3"
"140","ZNF223"
"141","PGF"
"142","LOC100506963"
"143","OLFML2B"
"144","LRRC34"
"145","COQ3"
"146","ADPRM"
"147","PUS3"
"148","SERPINF1"
"149","FAM209A"
"150","MIR548AJ2"
"151","LIPT1"
"152","ZNF57"
"153","RFESD"
"154","ZNF256"
"155","RNU6.28"
"156","SNORA14A"
"157","FDXR"
"158","PSCA"
"159","C14orf93"
"160","PAK3"
"161","SALL4"
"162","CIDEB"
"163","ZNF501"
"164","ENPP5"
"165","CD101"
"166","ADA"
"167","RAB39B"
"168","UCHL1"
"169","PLEKHA8P1"
"170","PDLIM1"
"171","EFNA4"
"172","ZNF630"
"173","EGFL8"
"174","TAAR2"
"175","CRABP1"
"176","GLMN"
"177","HKR1"
"178","CRIP2"
"179","ACTA2"
"180","BMI1"
"181","C17orf100"
"182","SOWAHD"
"183","ZNF808"
"184","CCL18"
"185","TYRP1"
"186","UEVLD"
"187","FUT11"
"188","PLTP"
"189","PPAP2C"
"190","ZFAND4"
"191","C12orf66"
"192","SNORA63"
"193","GJA1"
"194","MIR3198.2"
"195","ZNF763"
"196","SLC25A28"
"197","GAPDH"
"198","ZNF845"
"199","MIPEPP3"
"200","LIN37"
"201","TTC5"
"202","BHLHB9"
"203","ARL6"
"204","CLIC3"
"205","LOC100240734"
"206","COL9A2"
"207","ZNF284"
"208","PPAPDC2"
"209","ZNF416"
"210","SCARNA17"
"211","GATM"
"212","ZNF169"
"213","CTSK"
"214","ZNF408"
"215","SNORD76"
"216","PLEK2"
"217","FBLN1"
"218","TIGD2"
"219","HIST1H2BN"
"220","BMP4"
"221","ZNF615"
"222","NAP1L5"
"223","LOC100129961"
"224","SELP"
"225","CLDN23"
"226","TPPP3"
"227","HSPB9"
"228","SNX29P1"
"229","SLC38A5"
"230","SFRP2"
"231","SNORD107"
"232","SNORD31"
"233","FAM50B"
"234","PCDH9"
"235","PENK"
"236","SERHL"
"237","OR2G3"
"238","ZNF879"
"239","MIR1244.2"
"240","MIR1244.3"
"241","MIR1244.1"
"242","OXTR"
"243","BOLA1"
"244","ZNF233"
"245","FAM200A"
