"","V1"
"1","TNFAIP8L2"
"2","ZNF596"
"3","CASS4"
"4","MIR1248"
"5","FAM129C"
"6","IL18RAP"
"7","TNFRSF10A"
"8","SNORD83A"
"9","HIST1H4B"
"10","HIST4H4"
"11","KLRAP1"
"12","ZNF83"
"13","OR1E1"
"14","UFSP1"
"15","LOC100287010"
"16","LIF"
"17","NFKBIA"
"18","GCHFR"
"19","PLEKHN1"
"20","SUSD1"
"21","ZSCAN5A"
"22","LINC00239"
"23","MIR3671"
"24","FCGRT"
"25","ZNF235"
"26","OR5W2"
"27","RGCC"
"28","ADRB2"
"29","NINJ2"
"30","GSG2"
"31","C1orf162"
"32","IGF2"
"33","ANAPC1P1"
"34","MTVR2"
"35","HAR1B"
"36","BBS12"
"37","CLECL1"
"38","CEACAM21"
"39","CCL5"
"40","LILRA5"
"41","ST14"
"42","NCF2"
"43","HIST1H4A"
"44","RBKS"
"45","MGC39372"
"46","C1QB"
"47","TNF"
"48","IFIT2"
"49","TNFRSF10D"
"50","CD40"
"51","CFH"
"52","RSAD2"
"53","LAG3"
"54","GZMK"
"55","P2RY14"
"56","RIPK3"
"57","CD300E"
"58","CCR1"
"59","ADD2"
"60","FCRL6"
"61","TNFRSF13B"
"62","TNFSF13"
"63","LGALS2"
"64","GNGT2"
"65","SELL"
"66","TXLNB"
"67","MGC12916"
"68","WNT1"
"69","CFP"
"70","ASTL"
"71","OGN"
"72","CLEC1A"
"73","MIR4691"
"74","CD2"
"75","CD3E"
"76","DGCR9"
"77","CD74"
"78","LAT2"
"79","C5AR1"
"80","BATF"
"81","SLC7A7"
"82","HIST1H2AD"
"83","OASL"
"84","IGLL5"
"85","CA6"
"86","CEACAM4"
"87","NCF1"
"88","ANXA9"
"89","LYZ"
"90","KLRK1"
"91","CISH"
"92","WDFY4"
"93","ZNF675"
"94","FCRL3"
"95","THEMIS"
"96","GPR183"
"97","RTN4R"
"98","IGLL1"
"99","SCARNA22"
"100","DNASE1L3"
"101","TXK"
"102","C3AR1"
"103","VMO1"
"104","CXCR1"
"105","SOD2"
"106","CD72"
"107","IL3RA"
"108","SCIMP"
"109","SLAMF9"
"110","NAPSB"
"111","MEG3"
"112","F13A1"
"113","P2RY13"
"114","LILRA1"
"115","GPAT2"
"116","IL2RA"
"117","LILRA3"
"118","CSF3R"
"119","CRB3"
"120","CD69"
"121","IL8"
"122","TARP"
"123","CCL19"
"124","CSF1R"
"125","FDCSP"
"126","CD80"
"127","CDA"
"128","GPR97"
"129","LOC100505622"
"130","TRAT1"
"131","CD14"
"132","IGLL3P"
"133","CCL3L3"
"134","G0S2"
"135","BANK1"
"136","TMEM155"
"137","APOBEC3A"
"138","PRSS1"
"139","CA2"
"140","CYSLTR1"
"141","IFNG"
"142","GTSF1"
"143","GZMB"
"144","FAM90A7P"
"145","ELK2AP"
"146","KIR2DS4"
"147","LRMP"
"148","CTLA4"
"149","TNFRSF18"
"150","CCL23"
"151","HCK"
"152","CXCR2P1"
"153","EBI3"
"154","FGL2"
"155","TYROBP"
"156","OSM"
"157","NCR3"
"158","CXCL1"
"159","ALOX5"
"160","CXCL3"
"161","MS4A6A"
"162","HLA.DRA"
"163","SPP1"
"164","IGSF6"
"165","CCL2"
"166","MCM3AP.AS1"
"167","ALOX5AP"
"168","CD300A"
"169","HLA.DRB5"
"170","FPR1"
"171","CYP4F12"
"172","F10"
"173","ALOX15P1"
"174","C8orf4"
"175","HLA.DQB1"
"176","MIR645"
"177","CD300C"
"178","SLCO2B1"
"179","MMP9"
"180","CD86"
"181","PTGER2"
"182","HLA.DRB1"
"183","C19orf59"
"184","CXCL5"
"185","NUDT10"
"186","SNORA50"
"187","CXCL12"
"188","CLEC12A"
"189","CXCL13"
"190","SIRPG"
"191","FPR3"
"192","GPR84"
"193","ICOS"
"194","HCAR2"
"195","IL1B"
"196","HCAR3"
"197","MRC1"
"198","FCGR1A"
"199","CD8A"
"200","GZMH"
"201","ATP8B4"
"202","HSD11B1"
"203","LILRB4"
"204","RNASE6"
"205","OR2B11"
"206","BCL2L14"
"207","UBASH3A"
"208","KIR2DL3"
"209","SNORD60"
"210","FCN1"
"211","LOC283710"
"212","CCL8"
"213","IRG1"
"214","IL1RN"
"215","LILRA2"
"216","IL2"
"217","FOLR2"
"218","ADORA2A"
"219","LY86"
"220","CCRL2"
"221","FASLG"
"222","VSIG4"
"223","LTC4S"
"224","GPBAR1"
"225","CCL13"
"226","CXCL11"
"227","DHRS9"
"228","GGTA1P"
"229","FPR2"
"230","HK3"
"231","PLXDC2"
"232","GNA15"
"233","RUFY4"
"234","PLEK"
"235","FAM26F"
"236","PLA2G7"
"237","CCL3"
"238","AQP9"
"239","CD163"
"240","AIF1"
"241","NKG7"
"242","MNDA"
"243","CXCL9"
"244","TIMP1"
"245","OR10H1"
"246","FCGR3A"
"247","NAP1L2"
"248","CCL7"
"249","CX3CR1"
"250","OR1N2"
"251","C1orf172"
"252","TNFRSF13C"
"253","HTR3A"
"254","TMEM244"
"255","TNFRSF17"
"256","PRF1"
"257","C1QC"
"258","HLA.DQA1"
"259","CCL4"
"260","C19orf18"
"261","MIR155HG"
"262","C1QA"
"263","PDCD1"
"264","TAGLN3"
"265","BLNK"
"266","MARCO"
"267","C3"
"268","RAB3C"
"269","CCR8"
"270","LGMN"
"271","IL4I1"
"272","FSD1"
"273","IL9R"
"274","HLA.DPA1"
"275","HLA.DMB"
"276","IGJ"
"277","FCER2"
"278","CXCL10"
"279","IL7"
"280","FAM49A"
"281","GZMA"
"282","HAVCR2"
"283","CD83"
"284","IRF8"
"285","LOC100507424"
"286","FGR"
"287","VCAM1"
"288","DOK3"
"289","KLRC3"
"290","SNORA48"
"291","CST7"
"292","TMEM81"
"293","FCER1G"
"294","S100A9"
"295","LRRC32"
"296","RAB20"
"297","EREG"
"298","LOC145474"
"299","CD8B"
"300","LXN"
"301","ECI1"
"302","CXCR4"
"303","SIGLEC1"
"304","BCL11B"
"305","TNIP3"
"306","CD3D"
"307","ZNF17"
"308","LOC256021"
"309","TREM2"
"310","IFI30"
"311","NLRP3"
"312","TMEM176B"
"313","PAX5"
"314","OR2A12"
"315","FCER1A"
"316","TMEM176A"
"317","FAM154A"
"318","MFAP4"
"319","CD19"
"320","FLJ34208"
"321","KLK6"
"322","CTSW"
"323","ADAM28"
"324","CCR4"
"325","SAMD3"
"326","CTSL1"
"327","BTK"
"328","IER3"
"329","SLC11A1"
"330","TMEM200A"
"331","TCL1A"
"332","LRRC61"
"333","OLR1"
"334","CXCR2"
"335","CCL4L1"
"336","CCL4L2"
"337","CD180"
"338","FGF14.AS2"
"339","ZBTB16"
"340","SNORD116.18"
"341","IL21"
"342","PVALB"
"343","DEFB103A"
"344","LOC100128420"
"345","LST1"
"346","LOC146880"
"347","SERPINA9"
"348","HLA.DOB"
"349","CLDN5"
"350","SEMA4A"
"351","MZB1"
"352","CSPG4"
"353","CLEC5A"
"354","CXCL2"
"355","IL1R2"
"356","ZNF487P"
"357","ZNF563"
"358","HOPX"
"359","TREML2"
"360","CXCR5"
"361","CNR2"
"362","LINC00525"
"363","ZNF610"
"364","SIRPB1"
"365","IGFBP7"
"366","ROBO4"
"367","PRR4"
"368","CXCL14"
"369","PTHLH"
"370","CCNI2"
"371","PILRA"
"372","ZNF530"
"373","OR2A4"
"374","TRIM69"
"375","MS4A7"
"376","GPR25"
"377","SLC25A2"
"378","FSCB"
"379","FAM124B"
"380","OR5M10"
"381","GPR33"
"382","CLEC4A"
"383","COCH"
"384","OR5AP2"
"385","STC1"
"386","S100A8"
"387","SDS"
"388","ZNF180"
"389","KLRF1"
"390","KIR2DL4"
"391","NR1H3"
"392","PNOC"
"393","OR4C13"
"394","ISG15"
"395","BCL11A"
"396","CD40LG"
"397","GPA33"
"398","OR5J2"
"399","SERPING1"
"400","C11orf82"
"401","CST3"
"402","LTB"
"403","RNU6.66"
"404","CD70"
"405","ZNF624"
"406","CHRNA10"
"407","LINC00852"
"408","VPREB3"
"409","CLEC10A"
"410","C14orf80"
"411","RHBDL1"
"412","DPEP2"
"413","PARD6A"
"414","RARRES2"
"415","LILRA4"
"416","PLAU"
"417","KCNK6"
"418","LPAR2"
"419","LOC283761"
"420","ZFP57"
"421","IFIT3"
"422","CH25H"
"423","RASL11A"
"424","SEMA3B"
"425","ITK"
"426","TMEM178A"
"427","MS4A1"
"428","RORC"
"429","CTSB"
"430","IPO11.LRRC70"
"431","OR4F21"
"432","MIA"
"433","ZNF700"
"434","ADTRP"
"435","HAVCR1"
"436","NMUR1"
"437","CCL21"
"438","CD1C"
"439","CCR7"
"440","TAS2R30"
"441","TIGIT"
"442","CA11"
"443","C15orf48"
"444","SLC46A3"
"445","TMED7.TICAM2"
"446","HERC2P4"
"447","ZC4H2"
"448","A2M"
"449","NUDT7"
"450","MIR4680"
"451","IFI44"
"452","OR52N2"
"453","CES4A"
"454","IGFBP6"
"455","APOE"
"456","CD22"
"457","OR5M8"
"458","OR10G7"
"459","NRP1"
"460","RGS2"
"461","VNN2"
"462","ZNF551"
"463","ZNF211"
"464","ZNF14"
"465","GDF10"
"466","LTA"
"467","SLC15A3"
"468","CXCR7"
"469","TMEM14E"
"470","CFB"
"471","LOC647859"
"472","SNORA75"
"473","AURKAPS1"
"474","CXorf65"
"475","INHBA"
"476","SNORD83B"
"477","MTERF"
"478","GDAP1L1"
"479","BTNL8"
"480","SNAI3"
"481","GNLY"
"482","SNORA72"
"483","KHDRBS2"
"484","CFD"
"485","C16orf82"
"486","P2RY1"
"487","PLIN2"
"488","GEM"
"489","FCGR2B"
"490","BEND5"
"491","ZNF45"
"492","SNORA13"
"493","CD248"
"494","LACE1"
"495","LGR6"
"496","ATF3"
"497","SNORD50A"
"498","CTAGE6P"
"499","SNORA33"
"500","C1S"
"501","GGT5"
"502","HIST1H4I"
"503","AKR7A3"
"504","GPR19"
"505","MT2A"
"506","ETV7"
"507","MS4A4A"
"508","IL7R"
"509","APOC2"
"510","METRNL"
"511","MPZ"
"512","LOC100129175"
"513","KRT86"
"514","SIGLEC6"
"515","PLD4"
"516","KRTAP1.5"
"517","ASGR2"
"518","OR2M1P"
"519","GSTO2"
"520","ING2"
"521","TRIML2"
"522","OR4P4"
"523","EAF2"
"524","EDARADD"
"525","SEPP1"
"526","SLC2A1.AS1"
"527","CD5"
"528","MIR3690"
"529","FBP1"
"530","LOC100130093"
"531","RGS1"
"532","RDH16"
"533","XCL2"
"534","SERPINA3"
"535","SERPINE2"
"536","XAGE1A"
"537","STAC"
"538","CD68"
"539","THBD"
"540","MOB3C"
"541","GCSAM"
"542","TMEM212"
"543","RNASE2"
"544","OR4F17"
"545","PLA2G2A"
"546","TFPI"
"547","PLAGL1"
"548","BHLHE40.AS1"
"549","ZNF671"
"550","MMP11"
"551","ICAM2"
"552","TMEM252"
"553","UBD"
"554","RARRES1"
"555","XAGE1D"
"556","S100A6"
"557","MATK"
"558","HCG26"
"559","XAGE1B"
"560","CLEC17A"
"561","KLRC2"
"562","AREG"
"563","MRPL42P5"
"564","LPAR5"
"565","ANPEP"
"566","ESAM"
"567","LOC643733"
"568","LCAT"
"569","SNAR.B2"
"570","SNAR.B1"
"571","THBS1"
"572","ASTN2"
"573","MIR4647"
"574","TNFAIP6"
"575","APOC1"
"576","XAGE1E"
"577","XAGE1C"
"578","OR1J2"
"579","MIR3064"
"580","LOC728537"
"581","RMRP"
"582","EIF3CL"
"583","MIR4741"
"584","CCBL1"
"585","KHDC1"
"586","RDH5"
"587","C9orf156"
"588","KIR3DL1"
"589","ROCK1P1"
"590","PANK2"
"591","TM4SF18"
"592","DUSP1"
"593","GPM6A"
"594","SNORD70"
"595","SNORD12"
"596","TMSB4Y"
"597","IL6"
"598","CXADRP2"
"599","OLFML3"
"600","C2orf74"
"601","TNFRSF8"
"602","ANK1"
"603","KRTAP12.3"
"604","ASAH2B"
"605","C11orf75"
"606","ANKRD55"
"607","LINC00659"
"608","SERHL2"
"609","TCAP"
"610","MIR3689C"
"611","MIR3689B"
"612","SLCO2A1"
"613","IL17B"
"614","DEFB109P1B"
"615","CLU"
"616","PAGE5"
"617","PTGDS"
"618","LOC100507433"
"619","HSPA1A"
"620","CDK1"
"621","MTRNR2L2"
"622","AKAP3"
"623","SNORA7B"
"624","P2RY4"
"625","OR6F1"
"626","SIVA1"
"627","TKTL1"
"628","PIP5K1B"
"629","MPZL2"
"630","SNORD42A"
"631","FAM166B"
"632","EDN1"
"633","RNASE1"
"634","ALDH2"
"635","SNORD100"
"636","AMIGO2"
"637","LOC79015"
"638","ZNF135"
"639","NAPSA"
"640","APOD"
"641","ISLR"
"642","SHISA3"
"643","CD9"
"644","RALGPS1"
"645","OR56B1"
"646","LUM"
"647","C1R"
"648","HAMP"
"649","FCRLA"
"650","COL6A2"
"651","BCL2A1"
"652","HIST2H2BF"
"653","SIGLEC7"
"654","PTN"
"655","C21orf15"
"656","CLDN20"
"657","SMAGP"
"658","RNASE7"
"659","ZBTB25"
"660","CDH19"
"661","ZBTB49"
"662","SNORA28"
"663","GPR15"
"664","CMPK2"
"665","MIR1973"
"666","MIR7.1"
"667","SNORD116.20"
"668","DUSP2"
"669","ZBTB32"
"670","NEURL2"
"671","SNORA80"
"672","SNORA52"
"673","MIR3911"
"674","DARC"
"675","ZNF597"
"676","MIR548F1"
"677","CARD17"
