"","ligand","target","weight","target_type","ligand_type"
"1","CD40LG","ATF3","0.019736744","Positive","T-specific"
"2","CD40LG","CCL18","0.069489481","Negative","T-specific"
"3","CD40LG","CCL2","0.081417811","Positive","T-specific"
"4","CD40LG","CCL5","0.020892303","Positive","T-specific"
"5","CD40LG","CD69","0.106484580","Positive","T-specific"
"6","CD40LG","CD80","0.108836370","Positive","T-specific"
"7","CD40LG","CD83","0.109139755","Positive","T-specific"
"8","CD40LG","CD86","0.048992383","Positive","T-specific"
"9","CD40LG","CXCL10","0.077789589","Positive","T-specific"
"10","CD40LG","CXCL8","0.025203185","Positive","T-specific"
"11","CD40LG","EDN1","0.018551344","Positive","T-specific"
"12","CD40LG","FASLG","0.049534138","Positive","T-specific"
"13","CD40LG","FOS","0.026210925","Positive","T-specific"
"14","CD40LG","IER3","0.022648659","Positive","T-specific"
"15","CD40LG","IFNG","0.023660602","Positive","T-specific"
"16","CD40LG","IL10","0.019718621","Positive","T-specific"
"17","CD40LG","IL1B","0.081343074","Positive","T-specific"
"18","CD40LG","IL2","0.018667599","Positive","T-specific"
"19","CD40LG","IL2RA","0.076497072","Positive","T-specific"
"20","CD40LG","IL3RA","0.065222137","Positive","T-specific"
"21","CD40LG","IL6","0.085269652","Positive","T-specific"
"22","CD40LG","IL7","0.068451133","Positive","T-specific"
"23","CD40LG","IL7R","0.072165943","Positive","T-specific"
"24","CD40LG","KIT","0.065899426","Negative","T-specific"
"25","CD40LG","MMP9","0.076443242","Positive","T-specific"
"26","CD40LG","NFKBIA","0.019628737","Positive","T-specific"
"27","CD40LG","PLAU","0.018847205","Positive","T-specific"
"28","CD40LG","PMAIP1","0.018914242","Positive","T-specific"
"29","CD40LG","SELL","0.068753934","Positive","T-specific"
"30","CD40LG","SELP","0.068927582","Negative","T-specific"
"31","CD40LG","SERPINE1","0.080026116","Positive","T-specific"
"32","CD40LG","TNF","0.083755082","Positive","T-specific"
"33","CD40LG","TNFRSF8","0.064787597","Positive","T-specific"
"34","CD40LG","TNFSF13","0.065374472","Positive","T-specific"
"35","CD40LG","VCAM1","0.107905663","Positive","T-specific"
"36","ADM","CCL21","0.072592552","Positive","Macro-specific"
"37","ADM","FDCSP","0.073566383","Positive","Macro-specific"
"38","ADM","LILRA3","0.074414455","Positive","Macro-specific"
"39","ADM","MGC16025","0.073258665","Negative","Macro-specific"
"40","ADM","PAGE2B","0.073030377","Negative","Macro-specific"
"41","ADM","RPA4","0.072602591","Negative","Macro-specific"
"42","ADM","SLC25A2","0.071960648","Positive","Macro-specific"
"43","ADM","VCAM1","0.124186209","Positive","Macro-specific"
"44","CXCL14","ATF3","0.007060165","Positive","T-specific"
"45","CXCL14","CCL13","0.007508417","Positive","T-specific"
"46","CXCL14","CCL2","0.010965849","Positive","T-specific"
"47","CXCL14","CCL5","0.011125550","Positive","T-specific"
"48","CXCL14","CD40LG","0.006514268","Positive","T-specific"
"49","CXCL14","CD69","0.006836983","Positive","T-specific"
"50","CXCL14","CXCL2","0.006870637","Positive","T-specific"
"51","CXCL14","CXCL8","0.010141093","Positive","T-specific"
"52","CXCL14","CXCR4","0.006851499","Positive","T-specific"
"53","CXCL14","DUSP1","0.008248530","Positive","T-specific"
"54","CXCL14","EDN1","0.007634973","Positive","T-specific"
"55","CXCL14","FOS","0.012610133","Positive","T-specific"
"56","CXCL14","ID1","0.007255816","Positive","T-specific"
"57","CXCL14","IER3","0.010015676","Positive","T-specific"
"58","CXCL14","IFIT3","0.006481984","Positive","T-specific"
"59","CXCL14","IFNG","0.012080142","Positive","T-specific"
"60","CXCL14","IL10","0.011753149","Positive","T-specific"
"61","CXCL14","IL1B","0.012550541","Positive","T-specific"
"62","CXCL14","IL2","0.009716241","Positive","T-specific"
"63","CXCL14","IL2RA","0.013905196","Positive","T-specific"
"64","CXCL14","IL6","0.018371139","Positive","T-specific"
"65","CXCL14","IL7R","0.008300821","Positive","T-specific"
"66","CXCL14","MMP2","0.006357516","Negative","T-specific"
"67","CXCL14","MMP9","0.009252573","Positive","T-specific"
"68","CXCL14","NFKBIA","0.008730236","Positive","T-specific"
"69","CXCL14","PLAU","0.006667405","Positive","T-specific"
"70","CXCL14","PMAIP1","0.006425338","Positive","T-specific"
"71","CXCL14","SERPINE1","0.008946140","Positive","T-specific"
"72","CXCL14","THBS1","0.007196502","Positive","T-specific"
"73","CXCL14","TNF","0.013987195","Positive","T-specific"
"74","CD80","A2M","0.007311370","Positive","Macro-specific"
"75","CD80","ATF3","0.008750199","Positive","Macro-specific"
"76","CD80","CCL2","0.009328795","Positive","Macro-specific"
"77","CD80","CCL5","0.008447188","Positive","Macro-specific"
"78","CD80","CXCL8","0.012314883","Positive","Macro-specific"
"79","CD80","CXCR4","0.007779836","Positive","Macro-specific"
"80","CD80","CYP1B1","0.008061703","Positive","Macro-specific"
"81","CD80","DKK1","0.007728345","Positive","Macro-specific"
"82","CD80","DUSP1","0.007587495","Positive","Macro-specific"
"83","CD80","EDN1","0.008976124","Positive","Macro-specific"
"84","CD80","FASLG","0.069753133","Positive","Macro-specific"
"85","CD80","FOS","0.015423633","Positive","Macro-specific"
"86","CD80","ICOS","0.067669815","Positive","Macro-specific"
"87","CD80","ID1","0.008667113","Positive","Macro-specific"
"88","CD80","IER3","0.009327344","Positive","Macro-specific"
"89","CD80","IFNG","0.049221541","Positive","Macro-specific"
"90","CD80","IL10","0.010624343","Positive","Macro-specific"
"91","CD80","IL1B","0.008904943","Positive","Macro-specific"
"92","CD80","IL2","0.070109497","Positive","Macro-specific"
"93","CD80","IL2RA","0.008982255","Positive","Macro-specific"
"94","CD80","IL6","0.014716383","Positive","Macro-specific"
"95","CD80","MMP9","0.008007015","Positive","Macro-specific"
"96","CD80","NFKBIA","0.009696905","Positive","Macro-specific"
"97","CD80","PLAU","0.008714462","Positive","Macro-specific"
"98","CD80","PMAIP1","0.008512947","Positive","Macro-specific"
"99","CD80","PRF1","0.041424746","Positive","Macro-specific"
"100","CD80","SERPINE1","0.011168350","Positive","Macro-specific"
"101","CD80","THBS1","0.007929630","Positive","Macro-specific"
"102","CD80","TNF","0.045338889","Positive","Macro-specific"
"103","FASLG","ATF3","0.013001122","Positive","T-specific"
"104","FASLG","CCL2","0.016478810","Positive","T-specific"
"105","FASLG","CCL5","0.012445759","Positive","T-specific"
"106","FASLG","CXCL10","0.011230009","Positive","T-specific"
"107","FASLG","CXCL8","0.073927347","Positive","T-specific"
"108","FASLG","CXCR4","0.011745569","Positive","T-specific"
"109","FASLG","CYP1B1","0.011396731","Positive","T-specific"
"110","FASLG","DKK1","0.010863733","Positive","T-specific"
"111","FASLG","DUSP1","0.010911877","Positive","T-specific"
"112","FASLG","EDN1","0.014404687","Positive","T-specific"
"113","FASLG","FASLG","0.011447584","Positive","T-specific"
"114","FASLG","FOS","0.019153833","Positive","T-specific"
"115","FASLG","ID1","0.012618740","Positive","T-specific"
"116","FASLG","IER3","0.013941837","Positive","T-specific"
"117","FASLG","IFNG","0.014222311","Positive","T-specific"
"118","FASLG","IL10","0.012225561","Positive","T-specific"
"119","FASLG","IL1B","0.069878536","Positive","T-specific"
"120","FASLG","IL2","0.071278407","Positive","T-specific"
"121","FASLG","IL2RA","0.010806774","Positive","T-specific"
"122","FASLG","IL6","0.074650830","Positive","T-specific"
"123","FASLG","MMP2","0.011213759","Negative","T-specific"
"124","FASLG","MMP9","0.013466633","Positive","T-specific"
"125","FASLG","NFKBIA","0.069753026","Positive","T-specific"
"126","FASLG","PLAU","0.014033026","Positive","T-specific"
"127","FASLG","PMAIP1","0.012032353","Positive","T-specific"
"128","FASLG","SERPINE1","0.016440029","Positive","T-specific"
"129","FASLG","THBS1","0.011768792","Positive","T-specific"
"130","FASLG","TNF","0.072909613","Positive","T-specific"
"131","FASLG","VCAM1","0.068194260","Positive","T-specific"
"132","LTB","CA2","0.072470706","Positive","B-T"
"133","LTB","CLDN5","0.072668214","Positive","B-T"
"134","LTB","HSPA1A","0.070856712","Positive","B-T"
"135","LTB","HSPA1L","0.071367615","Negative","B-T"
"136","LTB","IER3","0.081945429","Positive","B-T"
"137","LTB","NFKBIA","0.079560621","Positive","B-T"
"138","LTB","SERPINE2","0.071960118","Positive","B-T"
"139","LTB","SIGLEC7","0.071911496","Positive","B-T"
"140","LTB","SPINK1","0.071082761","Positive","B-T"
