"","ligand","target","weight","target_type","ligand_type"
"1","CD40LG","CCL2","0.08141781","Positive","T-specific"
"2","CD40LG","CD69","0.10648458","Positive","T-specific"
"3","CD40LG","CD80","0.10883637","Positive","T-specific"
"4","CD40LG","CD83","0.10913975","Positive","T-specific"
"5","CD40LG","CXCL10","0.07778959","Positive","T-specific"
"6","CD40LG","IL1B","0.08134307","Positive","T-specific"
"7","CD40LG","IL2RA","0.07649707","Positive","T-specific"
"8","CD40LG","IL6","0.08526965","Positive","T-specific"
"9","CD40LG","MMP9","0.07644324","Positive","T-specific"
"10","CD40LG","SERPINE1","0.08002612","Positive","T-specific"
"11","CD40LG","TNF","0.08375508","Positive","T-specific"
"12","CD40LG","VCAM1","0.10790566","Positive","T-specific"
"13","ADM","FDCSP","0.07356638","Positive","Macro-specific"
"14","ADM","LILRA3","0.07441445","Positive","Macro-specific"
"15","ADM","MGC16025","0.07325866","Negative","Macro-specific"
"16","ADM","VCAM1","0.12418621","Positive","Macro-specific"
"17","FASLG","CXCL8","0.07392735","Positive","T-specific"
"18","FASLG","IL6","0.07465083","Positive","T-specific"
"19","LTB","IER3","0.08194543","Positive","B-T"
"20","LTB","NFKBIA","0.07956062","Positive","B-T"
"21","S100A9","CXCL8","0.07641950","Positive","T-Macro"
"22","S100A9","IL10","0.07568225","Positive","T-Macro"
"23","S100A9","IL1B","0.07693083","Positive","T-Macro"
"24","S100A9","IL6","0.08327324","Positive","T-Macro"
"25","S100A9","TNF","0.07667746","Positive","T-Macro"
"26","CXCL12","ADM","0.11873566","Positive","T-Macro"
"27","CXCL12","CXCL8","0.21445050","Positive","T-Macro"
"28","CXCL12","CXCR4","0.21411590","Positive","T-Macro"
"29","CXCL12","EGR2","0.11652475","Positive","T-Macro"
"30","CXCL12","EPAS1","0.13046294","Positive","T-Macro"
"31","CXCL12","FOS","0.08177269","Positive","T-Macro"
"32","CXCL12","G0S2","0.08206339","Positive","T-Macro"
"33","CXCL12","MT2A","0.22410012","Positive","T-Macro"
"34","CXCL12","PLAUR","0.18213007","Positive","T-Macro"
"35","CXCL12","SERPINE1","0.24490880","Positive","T-Macro"
"36","CXCL12","TGFBI","0.19480944","Positive","T-Macro"
"37","CXCL12","THBS1","0.13412368","Positive","T-Macro"
"38","S100A8","CXCL8","0.07727906","Positive","T-Macro"
"39","S100A8","IL10","0.07488865","Positive","T-Macro"
"40","S100A8","IL1B","0.07618041","Positive","T-Macro"
"41","S100A8","IL6","0.08200172","Positive","T-Macro"
"42","S100A8","TNF","0.07535590","Positive","T-Macro"
"43","PLAU","FOS","0.12480317","Positive","Macro-specific"
"44","PLAU","MMP9","0.08029282","Positive","Macro-specific"
