"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043114","GO:0043114","regulation of vascular permeability","6/93","50/18870",1.62426084268398e-07,0.000328263116306431,0.000278688965639461,"RAMP2/APOE/PTP4A3/ADM/CLDN5/PLVAP",6
"GO:0019932","GO:0019932","second-messenger-mediated signaling","10/93","310/18870",3.00142614390137e-06,0.00303294111841234,0.00257490769187328,"RASD1/CCR2/APOE/SELP/CXCR6/ADM/CX3CR1/XCR1/ADA/CCR1",10
"GO:0002685","GO:0002685","regulation of leukocyte migration","8/93","230/18870",1.80313604033616e-05,0.011893985478715,0.0100977610512281,"CCR2/SELP/CX3CR1/LGALS3/ADA/CD9/PLVAP/CCR1",8
"GO:0007204","GO:0007204","positive regulation of cytosolic calcium ion concentration","7/93","173/18870",2.35407926347649e-05,0.011893985478715,0.0100977610512281,"CCR2/CXCR6/ADM/CX3CR1/XCR1/CCR1/LPAR2",7
"GO:0032496","GO:0032496","response to lipopolysaccharide","9/93","348/18870",5.48541990145868e-05,0.0124860991972352,0.0106004540178095,"XBP1/S100A9/MIR142/SELP/ADM/CX3CR1/THBD/GSTP1/PTGS2",9
"GO:0003018","GO:0003018","vascular process in circulatory system","8/93","269/18870",5.49786596913975e-05,0.0124860991972352,0.0106004540178095,"RAMP2/APOE/PTP4A3/ADM/CLDN5/PLVAP/SLC38A5/PTGS2",8
"GO:0010544","GO:0010544","negative regulation of platelet activation","3/93","17/18870",7.49567606919199e-05,0.0124860991972352,0.0106004540178095,"APOE/THBD/CD9",3
"GO:0050878","GO:0050878","regulation of body fluid levels","9/93","365/18870",7.90841838344979e-05,0.0124860991972352,0.0106004540178095,"XBP1/APOE/SELP/ADM/AQP3/THBD/ADA/CD9/PLAUR",9
"GO:0019722","GO:0019722","calcium-mediated signaling","7/93","210/18870",8.06430501314434e-05,0.0124860991972352,0.0106004540178095,"CCR2/SELP/CXCR6/CX3CR1/XCR1/ADA/CCR1",7
"GO:0002237","GO:0002237","response to molecule of bacterial origin","9/93","369/18870",8.59373927709676e-05,0.0124860991972352,0.0106004540178095,"XBP1/S100A9/MIR142/SELP/ADM/CX3CR1/THBD/GSTP1/PTGS2",9
"GO:0070098","GO:0070098","chemokine-mediated signaling pathway","5/93","91/18870",8.68498138224728e-05,0.0124860991972352,0.0106004540178095,"CCR2/CXCR6/CX3CR1/XCR1/CCR1",5
"GO:0043116","GO:0043116","negative regulation of vascular permeability","3/93","18/18870",8.96272022629718e-05,0.0124860991972352,0.0106004540178095,"RAMP2/ADM/CLDN5",3
"GO:0030195","GO:0030195","negative regulation of blood coagulation","4/93","48/18870",9.11235272316859e-05,0.0124860991972352,0.0106004540178095,"APOE/THBD/CD9/PLAUR",4
"GO:0002687","GO:0002687","positive regulation of leukocyte migration","6/93","149/18870",9.4922181914791e-05,0.0124860991972352,0.0106004540178095,"CCR2/SELP/CX3CR1/LGALS3/PLVAP/CCR1",6
"GO:0010543","GO:0010543","regulation of platelet activation","4/93","49/18870",9.88508595525797e-05,0.0124860991972352,0.0106004540178095,"APOE/SELP/THBD/CD9",4
"GO:1900047","GO:1900047","negative regulation of hemostasis","4/93","49/18870",9.88508595525797e-05,0.0124860991972352,0.0106004540178095,"APOE/THBD/CD9/PLAUR",4
"GO:0050819","GO:0050819","negative regulation of coagulation","4/93","52/18870",0.000124889902377452,0.0126097234537031,0.0107054085937322,"APOE/THBD/CD9/PLAUR",4
"GO:0098869","GO:0098869","cellular oxidant detoxification","5/93","99/18870",0.00012950157942053,0.0126097234537031,0.0107054085937322,"S100A9/APOE/HP/GSTP1/PTGS2",5
"GO:1990868","GO:1990868","response to chemokine","5/93","99/18870",0.00012950157942053,0.0126097234537031,0.0107054085937322,"CCR2/CXCR6/CX3CR1/XCR1/CCR1",5
"GO:1990869","GO:1990869","cellular response to chemokine","5/93","99/18870",0.00012950157942053,0.0126097234537031,0.0107054085937322,"CCR2/CXCR6/CX3CR1/XCR1/CCR1",5
"GO:0098754","GO:0098754","detoxification","6/93","158/18870",0.000131026319904881,0.0126097234537031,0.0107054085937322,"S100A9/APOE/HP/MT1G/GSTP1/PTGS2",6
"GO:0090026","GO:0090026","positive regulation of monocyte chemotaxis","3/93","21/18870",0.000144526188764934,0.0128782756344731,0.0109334041429158,"CCR2/CX3CR1/CCR1",3
"GO:0050900","GO:0050900","leukocyte migration","9/93","396/18870",0.000146561276394301,0.0128782756344731,0.0109334041429158,"CCR2/S100A9/SELP/CX3CR1/LGALS3/ADA/CD9/PLVAP/CCR1",9
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","10/93","493/18870",0.000157087761456863,0.0132280985793467,0.0112303969813459,"XBP1/CCR2/SELP/PLA2G2A/LGALS3/ADA/CD9/NOTCH4/RGCC/PLAUR",10
"GO:2001234","GO:2001234","negative regulation of apoptotic signaling pathway","7/93","243/18870",0.000199200619312031,0.0161033780651846,0.0136714530306783,"XBP1/HSPA1A/CX3CR1/LGALS3/PLAUR/GSTP1/PTGS2",7
"GO:1905517","GO:1905517","macrophage migration","4/93","61/18870",0.000232734335834341,0.0180906189508155,0.0153585816765172,"CCR2/CX3CR1/LGALS3/CD9",4
"GO:0050727","GO:0050727","regulation of inflammatory response","9/93","425/18870",0.000247970299251496,0.0185610361032324,0.0157579566385941,"CCR2/S100A9/APOE/MIR142/PLA2G2A/ADA/METRNL/GSTP1/PTGS2",9
"GO:0015908","GO:0015908","fatty acid transport","5/93","116/18870",0.000271931624280378,0.0196276361668087,0.0166634792322186,"SLC25A20/APOE/PLA2G2A/CRABP2/PTGS2",5
"GO:0034612","GO:0034612","response to tumor necrosis factor","7/93","259/18870",0.000293690332380536,0.0204671779910712,0.0173762338214256,"TNFRSF17/MIR142/HSPA1A/CX3CR1/PLVAP/GSTP1/PTGS2",7
"GO:1990748","GO:1990748","cellular detoxification","5/93","119/18870",0.000306083495466225,0.0206198248112413,0.0175058279863139,"S100A9/APOE/HP/GSTP1/PTGS2",5
"GO:0030193","GO:0030193","regulation of blood coagulation","4/93","68/18870",0.000353775221589522,0.0230638620268524,0.0195807677823742,"APOE/THBD/CD9/PLAUR",4
"GO:0090025","GO:0090025","regulation of monocyte chemotaxis","3/93","29/18870",0.000385890910994449,0.024210881867609,0.0205545651939908,"CCR2/CX3CR1/CCR1",3
"GO:1900046","GO:1900046","regulation of hemostasis","4/93","70/18870",0.000395328600510191,0.024210881867609,0.0205545651939908,"APOE/THBD/CD9/PLAUR",4
"GO:0002548","GO:0002548","monocyte chemotaxis","4/93","71/18870",0.000417361687973239,0.0247281008456275,0.0209936739906627,"CCR2/CX3CR1/LGALS3/CCR1",4
"GO:0097237","GO:0097237","cellular response to toxic substance","5/93","128/18870",0.000428245190300327,0.0247281008456275,0.0209936739906627,"S100A9/APOE/HP/GSTP1/PTGS2",5
"GO:0050818","GO:0050818","regulation of coagulation","4/93","73/18870",0.000464036504206943,0.0248415754276787,0.0210900116915108,"APOE/THBD/CD9/PLAUR",4
"GO:0071677","GO:0071677","positive regulation of mononuclear cell migration","4/93","73/18870",0.000464036504206943,0.0248415754276787,0.0210900116915108,"CCR2/CX3CR1/LGALS3/CCR1",4
"GO:0045123","GO:0045123","cellular extravasation","4/93","74/18870",0.000488716768687809,0.0248415754276787,0.0210900116915108,"CCR2/SELP/CX3CR1/PLVAP",4
"GO:0006935","GO:0006935","chemotaxis","9/93","468/18870",0.000500654013415365,0.0248415754276787,0.0210900116915108,"CCR2/S100A9/CXCR6/CX3CR1/LGALS3/XCR1/CCR1/RNASE2/PLAUR",9
"GO:0061041","GO:0061041","regulation of wound healing","5/93","133/18870",0.000510300986442859,0.0248415754276787,0.0210900116915108,"XBP1/APOE/THBD/CD9/PLAUR",5
"GO:0061045","GO:0061045","negative regulation of wound healing","4/93","75/18870",0.000514318061115643,0.0248415754276787,0.0210900116915108,"APOE/THBD/CD9/PLAUR",4
"GO:0042330","GO:0042330","taxis","9/93","470/18870",0.000516252433430234,0.0248415754276787,0.0210900116915108,"CCR2/S100A9/CXCR6/CX3CR1/LGALS3/XCR1/CCR1/RNASE2/PLAUR",9
"GO:0034368","GO:0034368","protein-lipid complex remodeling","3/93","33/18870",0.000568039454002971,0.0260910849213637,0.0221508208139914,"APOE/PLTP/PLA2G2A",3
"GO:0034369","GO:0034369","plasma lipoprotein particle remodeling","3/93","33/18870",0.000568039454002971,0.0260910849213637,0.0221508208139914,"APOE/PLTP/PLA2G2A",3
"GO:0006986","GO:0006986","response to unfolded protein","5/93","137/18870",0.000584042643229491,0.0262300040437067,0.0222687604319081,"XBP1/CHAC1/FICD/DERL3/HSPA1A",5
"GO:0032102","GO:0032102","negative regulation of response to external stimulus","9/93","481/18870",0.000609364095291754,0.0266942059903709,0.0226628588058567,"APOE/MIR142/THBD/ADA/CD9/ISG15/METRNL/PLAUR/GSTP1",9
"GO:0050901","GO:0050901","leukocyte tethering or rolling","3/93","34/18870",0.000620795488148161,0.0266942059903709,0.0226628588058567,"CCR2/SELP/CX3CR1",3
"GO:0034367","GO:0034367","protein-containing complex remodeling","3/93","35/18870",0.000676580947088017,0.028486876959685,0.0241848013981024,"APOE/PLTP/PLA2G2A",3
"GO:2001233","GO:2001233","regulation of apoptotic signaling pathway","8/93","398/18870",0.000779821149852104,0.0321636437520633,0.0273063044953583,"XBP1/S100A9/HSPA1A/CX3CR1/LGALS3/PLAUR/GSTP1/PTGS2",8
"GO:0050866","GO:0050866","negative regulation of cell activation","6/93","223/18870",0.000825272083058755,0.0333574975972349,0.0283198630607531,"CCR2/APOE/PLA2G2A/THBD/LGALS3/CD9",6
"GO:0050729","GO:0050729","positive regulation of inflammatory response","5/93","152/18870",0.0009335624571998,0.0369947005098195,0.0314077771978467,"CCR2/S100A9/MIR142/PLA2G2A/PTGS2",5
"GO:0048872","GO:0048872","homeostasis of number of cells","7/93","316/18870",0.000956738119605236,0.0371839949946573,0.0315684845132902,"CCR2/TNFRSF17/HSPA1A/CX3CR1/PLA2G2A/ADA/ISG15",7
"GO:0034620","GO:0034620","cellular response to unfolded protein","4/93","89/18870",0.000980388602440508,0.0373842521798541,0.0317384989469321,"XBP1/FICD/DERL3/HSPA1A",4
"GO:2000048","GO:2000048","negative regulation of cell-cell adhesion mediated by cadherin","2/93","10/18870",0.00105387141467642,0.0391867653119798,0.0332687973429137,"NOTCH4/RGCC",2
"GO:0002691","GO:0002691","regulation of cellular extravasation","3/93","41/18870",0.00107868067662757,0.0391867653119798,0.0332687973429137,"CCR2/SELP/PLVAP",3
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","8/93","419/18870",0.00108582823229632,0.0391867653119798,0.0332687973429137,"XBP1/CCR2/S100A9/SELP/CX3CR1/PLA2G2A/LGALS3/ADA",8
"GO:0060326","GO:0060326","cell chemotaxis","7/93","325/18870",0.00112585121962461,0.0397762915455296,0.0337692935853607,"CCR2/S100A9/CXCR6/CX3CR1/LGALS3/XCR1/CCR1",7
"GO:0035966","GO:0035966","response to topologically incorrect protein","5/93","159/18870",0.00114152642733336,0.0397762915455296,0.0337692935853607,"XBP1/CHAC1/FICD/DERL3/HSPA1A",5
"GO:0002274","GO:0002274","myeloid leukocyte activation","6/93","241/18870",0.00123152269852587,0.0421848707410301,0.035814130215828,"CCR2/MIR142/CX3CR1/PLA2G2A/FCER1A/MT1G",6
"GO:0097529","GO:0097529","myeloid leukocyte migration","6/93","242/18870",0.00125789447290217,0.0423700788289213,0.0359713682601848,"CCR2/S100A9/CX3CR1/LGALS3/CD9/CCR1",6
"GO:0002887","GO:0002887","negative regulation of myeloid leukocyte mediated immunity","2/93","11/18870",0.001283935603336,0.0425382599072467,0.036114150706431,"CCR2/CX3CR1",2
"GO:1903035","GO:1903035","negative regulation of response to wounding","4/93","97/18870",0.00135022488099027,0.0440129755561505,0.0373661554501551,"APOE/THBD/CD9/PLAUR",4
"GO:1905521","GO:1905521","regulation of macrophage migration","3/93","45/18870",0.00141560327627698,0.0454116543072345,0.0385536063547447,"CCR2/CX3CR1/CD9",3
"GO:0097084","GO:0097084","vascular associated smooth muscle cell development","2/93","12/18870",0.00153578507372357,0.0477511020614667,0.0405397517436343,"RAMP2/ADM",2
