"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050900","GO:0050900","leukocyte migration","8/47","396/18870",5.38629868551018e-06,0.00407036785084493,0.00282335806150517,"CCL20/TREM1/CCL3L3/STAP1/IL33/TNFSF11/SERPINE1/HMOX1",8
"GO:0046686","GO:0046686","response to cadmium ion","4/47","59/18870",1.39042659721519e-05,0.00407036785084493,0.00282335806150517,"MT1X/SOD2/HMOX1/MT2A",4
"GO:0060326","GO:0060326","cell chemotaxis","7/47","325/18870",1.46707887964068e-05,0.00407036785084493,0.00282335806150517,"CCL20/TREM1/CCL3L3/STAP1/TNFSF11/SERPINE1/LOX",7
"GO:0007566","GO:0007566","embryo implantation","4/47","60/18870",1.48703135675883e-05,0.00407036785084493,0.00282335806150517,"PTGS2/LIF/STC1/TIMP1",4
"GO:0006935","GO:0006935","chemotaxis","8/47","468/18870",1.81300017191652e-05,0.00407036785084493,0.00282335806150517,"CCL20/TREM1/CCL3L3/STAP1/TNFSF11/SERPINE1/LOX/PLAUR",8
"GO:0042330","GO:0042330","taxis","8/47","470/18870",1.86943838270878e-05,0.00407036785084493,0.00282335806150517,"CCL20/TREM1/CCL3L3/STAP1/TNFSF11/SERPINE1/LOX/PLAUR",8
"GO:0030595","GO:0030595","leukocyte chemotaxis","6/47","240/18870",2.75995755424392e-05,0.00407036785084493,0.00282335806150517,"CCL20/TREM1/CCL3L3/STAP1/TNFSF11/SERPINE1",6
"GO:0097529","GO:0097529","myeloid leukocyte migration","6/47","242/18870",2.89156738664872e-05,0.00407036785084493,0.00282335806150517,"CCL20/TREM1/CCL3L3/STAP1/TNFSF11/SERPINE1",6
"GO:0002548","GO:0002548","monocyte chemotaxis","4/47","71/18870",2.90420597635501e-05,0.00407036785084493,0.00282335806150517,"CCL20/CCL3L3/TNFSF11/SERPINE1",4
"GO:0046697","GO:0046697","decidualization","3/47","25/18870",3.20506111013384e-05,0.00407036785084493,0.00282335806150517,"PTGS2/LIF/STC1",3
"GO:0030336","GO:0030336","negative regulation of cell migration","7/47","373/18870",3.54789244803349e-05,0.00407036785084493,0.00282335806150517,"STAP1/IL33/STC1/SERPINE1/HMOX1/IGFBP3/TIMP1",7
