"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1904035","GO:1904035","regulation of epithelial cell apoptotic process","5/63","113/18870",3.75457504472098e-05,0.0272793422973114,0.0230012724488281,"SCG2/SFRP4/RAMP2/H19/CD248",5
"GO:0030198","GO:0030198","extracellular matrix organization","7/63","321/18870",9.44224235523279e-05,0.0272793422973114,0.0230012724488281,"RAMP2/SFRP2/TNXB/ELN/CCDC80/CST3/COL1A1",7
"GO:0043062","GO:0043062","extracellular structure organization","7/63","322/18870",9.62698435020893e-05,0.0272793422973114,0.0230012724488281,"RAMP2/SFRP2/TNXB/ELN/CCDC80/CST3/COL1A1",7
"GO:0045229","GO:0045229","external encapsulating structure organization","7/63","323/18870",9.81466574215907e-05,0.0272793422973114,0.0230012724488281,"RAMP2/SFRP2/TNXB/ELN/CCDC80/CST3/COL1A1",7
"GO:0035924","GO:0035924","cellular response to vascular endothelial growth factor stimulus","4/63","75/18870",0.000114796312053968,0.0272793422973114,0.0230012724488281,"RAMP2/MT1G/TNXB/DCN",4
"GO:1904019","GO:1904019","epithelial cell apoptotic process","5/63","144/18870",0.000118864236589592,0.0272793422973114,0.0230012724488281,"SCG2/SFRP4/RAMP2/H19/CD248",5
"GO:2001234","GO:2001234","negative regulation of apoptotic signaling pathway","6/63","243/18870",0.000157727825578842,0.0280812833222549,0.0236774494549151,"SCG2/SFRP2/BMI1/EYA2/IFI6/XBP1",6
"GO:0045926","GO:0045926","negative regulation of growth","6/63","247/18870",0.000172345973464375,0.0280812833222549,0.0236774494549151,"PI16/SEMA3B/SFRP2/MT1G/MT1M/MEG3",6
"GO:2001236","GO:2001236","regulation of extrinsic apoptotic signaling pathway","5/63","158/18870",0.000183537799491862,0.0280812833222549,0.0236774494549151,"SCG2/SFRP2/EYA2/IFI6/ATF3",5
"GO:2001237","GO:2001237","negative regulation of extrinsic apoptotic signaling pathway","4/63","99/18870",0.000334896923073471,0.0441382035451976,0.0372162508201299,"SCG2/SFRP2/EYA2/IFI6",4
"GO:2001233","GO:2001233","regulation of apoptotic signaling pathway","7/63","398/18870",0.000352592766156263,0.0441382035451976,0.0372162508201299,"SCG2/SFRP2/BMI1/EYA2/IFI6/ATF3/XBP1",7
"GO:1904037","GO:1904037","positive regulation of epithelial cell apoptotic process","3/63","43/18870",0.000397904187947727,0.0456595055670017,0.0384989753777494,"SFRP4/H19/CD248",3
