"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050900","GO:0050900","leukocyte migration","5/14","396/18870",6.79718673664425e-06,0.00430438567124052,0.00205004939384297,"CCL18/KIT/SELP/MMP2/IL23A",5
"GO:2000241","GO:2000241","regulation of reproductive process","4/14","207/18870",1.29185621886985e-05,0.00430438567124052,0.00205004939384297,"KIT/AURKA/BMP4/GJA1",4
"GO:0006935","GO:0006935","chemotaxis","5/14","468/18870",1.52815162456534e-05,0.00430438567124052,0.00205004939384297,"CCL18/KIT/MMP2/IL23A/BMP4",5
"GO:0042330","GO:0042330","taxis","5/14","470/18870",1.55996679356018e-05,0.00430438567124052,0.00205004939384297,"CCL18/KIT/MMP2/IL23A/BMP4",5
"GO:2000242","GO:2000242","negative regulation of reproductive process","3/14","76/18870",2.21354673996664e-05,0.00430438567124052,0.00205004939384297,"KIT/BMP4/GJA1",3
"GO:0030595","GO:0030595","leukocyte chemotaxis","4/14","240/18870",2.31107183754783e-05,0.00430438567124052,0.00205004939384297,"CCL18/KIT/MMP2/IL23A",4
"GO:0097529","GO:0097529","myeloid leukocyte migration","4/14","242/18870",2.38753563381011e-05,0.00430438567124052,0.00205004939384297,"CCL18/KIT/MMP2/IL23A",4
"GO:1904705","GO:1904705","regulation of vascular associated smooth muscle cell proliferation","3/14","93/18870",4.05566242931924e-05,0.00598586838348893,0.00285088902074583,"MMP2/BMP4/GJA1",3
"GO:1990874","GO:1990874","vascular associated smooth muscle cell proliferation","3/14","95/18870",4.32218846255458e-05,0.00598586838348893,0.00285088902074583,"MMP2/BMP4/GJA1",3
"GO:0048661","GO:0048661","positive regulation of smooth muscle cell proliferation","3/14","98/18870",4.7431603672654e-05,0.00598586838348893,0.00285088902074583,"MMP2/BMP4/GJA1",3
"GO:0060326","GO:0060326","cell chemotaxis","4/14","325/18870",7.54387665354955e-05,0.00865488394252685,0.00412206083174813,"CCL18/KIT/MMP2/IL23A",4
"GO:0001704","GO:0001704","formation of primary germ layer","3/14","128/18870",0.000105069469811199,0.0110498059084777,0.00526269011071881,"MMP2/BMP4/GJA1",3
"GO:0002320","GO:0002320","lymphoid progenitor cell differentiation","2/14","24/18870",0.000139768180600062,0.0135682649167137,0.0064621563662053,"KIT/BMP4",2
"GO:0060740","GO:0060740","prostate gland epithelium morphogenesis","2/14","26/18870",0.000164442603309557,0.0148233260983329,0.00705990424735015,"MMP2/BMP4",2
"GO:0060512","GO:0060512","prostate gland morphogenesis","2/14","28/18870",0.000191097297411327,0.0160776526222063,0.00765730223311352,"MMP2/BMP4",2
"GO:0048660","GO:0048660","regulation of smooth muscle cell proliferation","3/14","171/18870",0.000247309637986461,0.0178504970625925,0.0085016547024275,"MMP2/BMP4/GJA1",3
"GO:0010720","GO:0010720","positive regulation of cell development","4/14","444/18870",0.000250967679973628,0.0178504970625925,0.0085016547024275,"KIT/AURKA/IL23A/BMP4",4
"GO:0048659","GO:0048659","smooth muscle cell proliferation","3/14","175/18870",0.000264716660086075,0.0178504970625925,0.0085016547024275,"MMP2/BMP4/GJA1",3
"GO:1901987","GO:1901987","regulation of cell cycle phase transition","4/14","456/18870",0.000277884578402531,0.0178504970625925,0.0085016547024275,"RPA4/CDK4/CDKN2A/AURKA",4
"GO:0048333","GO:0048333","mesodermal cell differentiation","2/14","34/18870",0.000282892187996712,0.0178504970625925,0.0085016547024275,"BMP4/GJA1",2
"GO:0048771","GO:0048771","tissue remodeling","3/14","184/18870",0.000306743112183682,0.0182082043890882,0.00867201994008621,"MMP2/IL23A/GJA1",3
"GO:1905332","GO:1905332","positive regulation of morphogenesis of an epithelium","2/14","36/18870",0.000317417192202805,0.0182082043890882,0.00867201994008621,"BMP4/GJA1",2
"GO:0003161","GO:0003161","cardiac conduction system development","2/14","37/18870",0.000335413107719214,0.0184039713887673,0.00876525787220464,"BMP4/GJA1",2
"GO:0007369","GO:0007369","gastrulation","3/14","197/18870",0.000374728088518796,0.0197044519879467,0.0093846376554488,"MMP2/BMP4/GJA1",3
"GO:0010453","GO:0010453","regulation of cell fate commitment","2/14","43/18870",0.000453616700788918,0.0228985710558246,0.0109059004694936,"IL23A/BMP4",2
"GO:0051150","GO:0051150","regulation of smooth muscle cell differentiation","2/14","45/18870",0.000496899234905183,0.0241187244019362,0.0114870227988202,"KIT/BMP4",2
"GO:0046427","GO:0046427","positive regulation of receptor signaling pathway via JAK-STAT","2/14","49/18870",0.00058925622878176,0.0263605981280433,0.0125547598057492,"KIT/IL23A",2
"GO:0030850","GO:0030850","prostate gland development","2/14","50/18870",0.000613548483451198,0.0263605981280433,0.0125547598057492,"MMP2/BMP4",2
"GO:0002573","GO:0002573","myeloid leukocyte differentiation","3/14","235/18870",0.000627135815982242,0.0263605981280433,0.0125547598057492,"KIT/IL23A/BMP4",3
"GO:0048013","GO:0048013","ephrin receptor signaling pathway","2/14","51/18870",0.000638320693096968,0.0263605981280433,0.0125547598057492,"MMP2/PAK3",2
"GO:1904707","GO:1904707","positive regulation of vascular associated smooth muscle cell proliferation","2/14","52/18870",0.000663572234929383,0.0263605981280433,0.0125547598057492,"MMP2/GJA1",2
"GO:1904645","GO:1904645","response to amyloid-beta","2/14","53/18870",0.000689302486707946,0.0263605981280433,0.0125547598057492,"MMP2/GJA1",2
"GO:1904894","GO:1904894","positive regulation of receptor signaling pathway via STAT","2/14","53/18870",0.000689302486707946,0.0263605981280433,0.0125547598057492,"KIT/IL23A",2
"GO:0033002","GO:0033002","muscle cell proliferation","3/14","247/18870",0.000724826288845294,0.0269038463683165,0.0128134925984725,"MMP2/BMP4/GJA1",3
"GO:0001541","GO:0001541","ovarian follicle development","2/14","56/18870",0.000769359287545448,0.0277408977394959,0.0132121549831113,"KIT/MMP2",2
"GO:0009948","GO:0009948","anterior/posterior axis specification","2/14","59/18870",0.000853702129882045,0.0291181645381389,0.0138681057229772,"AURKA/BMP4",2
"GO:0046686","GO:0046686","response to cadmium ion","2/14","59/18870",0.000853702129882045,0.0291181645381389,0.0138681057229772,"KIT/CHUK",2
