"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060326","GO:0060326","cell chemotaxis","24/80","325/18870",1.34613675150213e-23,3.78129813496948e-20,1.91009720107881e-20,"CCL2/CCL5/CXCL10/CXCL8/EDN1/IL10/IL1B/IL6/SERPINE1/VCAM1/CCL21/CCL13/CXCL2/CXCR4/DUSP1/THBS1/S100A8/KLRK1/CCL4/CCR3/C5AR1/CXCR6/SMOC2/CCR7",24
"GO:0006935","GO:0006935","chemotaxis","26/80","468/18870",2.02453071290525e-22,1.94839744505668e-19,9.84219803240113e-20,"CCL2/CCL5/CXCL10/CXCL8/EDN1/IL10/IL1B/IL6/PLAU/SERPINE1/VCAM1/CCL21/CCL13/CXCL2/CXCR4/DUSP1/THBS1/S100A8/KLRK1/CCL4/CCR3/PLAUR/C5AR1/CXCR6/SMOC2/CCR7",26
"GO:0042330","GO:0042330","taxis","26/80","470/18870",2.25609307873505e-22,1.94839744505668e-19,9.84219803240113e-20,"CCL2/CCL5/CXCL10/CXCL8/EDN1/IL10/IL1B/IL6/PLAU/SERPINE1/VCAM1/CCL21/CCL13/CXCL2/CXCR4/DUSP1/THBS1/S100A8/KLRK1/CCL4/CCR3/PLAUR/C5AR1/CXCR6/SMOC2/CCR7",26
"GO:0002237","GO:0002237","response to molecule of bacterial origin","24/80","369/18870",2.77450686373326e-22,1.94839744505668e-19,9.84219803240113e-20,"CCL2/CD80/CD86/CXCL10/CXCL8/EDN1/FASLG/FOS/IL10/IL1B/IL6/MMP9/NFKBIA/SERPINE1/TNF/VCAM1/CXCL2/S100A8/SOD2/KLRK1/THBD/ADM/C5AR1/CCR7",24
"GO:0032496","GO:0032496","response to lipopolysaccharide","23/80","348/18870",1.65334444266698e-21,9.28848907890307e-19,4.69201749203176e-19,"CCL2/CD80/CD86/CXCL10/CXCL8/EDN1/FASLG/FOS/IL10/IL1B/IL6/MMP9/NFKBIA/SERPINE1/TNF/VCAM1/CXCL2/S100A8/SOD2/KLRK1/THBD/ADM/CCR7",23
"GO:0030595","GO:0030595","leukocyte chemotaxis","20/80","240/18870",9.92180171985732e-21,4.6450568385132e-18,2.34641907339784e-18,"CCL2/CCL5/CXCL10/CXCL8/EDN1/IL10/IL1B/IL6/SERPINE1/CCL21/CCL13/CXCL2/CXCR4/DUSP1/THBS1/S100A8/KLRK1/CCL4/C5AR1/CCR7",20
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","23/80","380/18870",1.21290932693673e-20,4.8672318562361e-18,2.45864928227174e-18,"CCL2/CCL5/CD80/CD83/CD86/IFNG/IL10/IL1B/IL2/IL2RA/IL6/IL7/IL7R/TNF/TNFSF13/VCAM1/CCL21/CD40LG/THBS1/ICOS/KLRC2/KLRK1/CCR7",23
"GO:0050867","GO:0050867","positive regulation of cell activation","23/80","396/18870",3.07213271343553e-20,9.58846754671157e-18,4.8435495879662e-18,"CCL2/CCL5/CD80/CD83/CD86/IFNG/IL10/IL1B/IL2/IL2RA/IL6/IL7/IL7R/TNF/TNFSF13/VCAM1/CCL21/CD40LG/THBS1/ICOS/KLRC2/KLRK1/CCR7",23
"GO:0050900","GO:0050900","leukocyte migration","23/80","396/18870",3.07213271343553e-20,9.58846754671157e-18,4.8435495879662e-18,"CCL2/CCL5/CXCL10/CXCL8/EDN1/IL10/IL1B/IL6/SELL/SERPINE1/TNF/VCAM1/CCL21/CCL13/CXCL2/CXCR4/DUSP1/THBS1/S100A8/KLRK1/CCL4/C5AR1/CCR7",23
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","21/80","322/18870",1.5838722728305e-19,4.44909721438087e-17,2.24743139344791e-17,"CCL2/CCL5/CD80/CD83/CD86/IFNG/IL10/IL1B/IL2/IL2RA/IL6/IL7/IL7R/TNF/VCAM1/CCL21/CD40LG/ICOS/KLRK1/PLAUR/CCR7",21
"GO:0051251","GO:0051251","positive regulation of lymphocyte activation","21/80","330/18870",2.63129542419818e-19,6.71937167870245e-17,3.39424519791306e-17,"CCL2/CCL5/CD80/CD83/CD86/IFNG/IL10/IL1B/IL2/IL2RA/IL6/IL7/IL7R/TNFSF13/VCAM1/CCL21/CD40LG/ICOS/KLRC2/KLRK1/CCR7",21
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","22/80","419/18870",2.01078413792119e-18,4.70691053618384e-16,2.37766405080505e-16,"CCL2/CCL5/CD80/CD83/CD86/IFNG/IL10/IL1B/IL2/IL2RA/IL6/IL7/IL7R/SELL/TNF/VCAM1/CCL21/CD40LG/ICOS/S100A8/KLRK1/CCR7",22
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion","19/80","275/18870",3.59106758289034e-18,7.75946833872228e-16,3.91964299735723e-16,"CCL2/CCL5/CD80/CD83/CD86/IFNG/IL1B/IL2/IL2RA/IL6/IL7/IL7R/TNF/VCAM1/CCL21/CD40LG/ICOS/KLRK1/CCR7",19
"GO:1990868","GO:1990868","response to chemokine","14/80","99/18870",5.23555541578629e-18,9.80445010862913e-16,4.95265171963503e-16,"CCL2/CCL5/CXCL10/CXCL8/EDN1/CCL21/CCL13/CXCL2/CXCR4/DUSP1/CCL4/CCR3/CXCR6/CCR7",14
"GO:1990869","GO:1990869","cellular response to chemokine","14/80","99/18870",5.23555541578629e-18,9.80445010862913e-16,4.95265171963503e-16,"CCL2/CCL5/CXCL10/CXCL8/EDN1/CCL21/CCL13/CXCL2/CXCR4/DUSP1/CCL4/CCR3/CXCR6/CCR7",14
"GO:0050870","GO:0050870","positive regulation of T cell activation","18/80","251/18870",1.5697846258397e-17,2.75595313373981e-15,1.39215110238941e-15,"CCL2/CCL5/CD80/CD83/CD86/IFNG/IL1B/IL2/IL2RA/IL6/IL7/IL7R/VCAM1/CCL21/CD40LG/ICOS/KLRK1/CCR7",18
"GO:0045785","GO:0045785","positive regulation of cell adhesion","22/80","482/18870",3.90653117856441e-17,6.45496828269849e-15,3.26068360910516e-15,"CCL2/CCL5/CD80/CD83/CD86/IFNG/IL10/IL1B/IL2/IL2RA/IL6/IL7/IL7R/TNF/VCAM1/CCL21/CD40LG/ICOS/LIF/KLRK1/PLAUR/CCR7",22
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","22/80","493/18870",6.27757060614355e-17,9.79649768480957e-15,4.94863460648041e-15,"CCL2/CCL5/CD80/CD83/CD86/IFNG/IL10/IL1B/IL2/IL2RA/IL6/IL7/IL7R/TNF/VCAM1/CCL21/CD40LG/ICOS/SERPINE2/KLRK1/PLAUR/CCR7",22
"GO:0070098","GO:0070098","chemokine-mediated signaling pathway","13/80","91/18870",7.58820087958826e-17,1.12185559319807e-14,5.66697772060109e-15,"CCL2/CCL5/CXCL10/CXCL8/EDN1/CCL21/CCL13/CXCL2/CXCR4/CCL4/CCR3/CXCR6/CCR7",13
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","20/80","382/18870",9.5006034143922e-17,1.33435974955138e-14,6.74042810663194e-15,"CCL2/CCL5/CD80/CD83/CD86/IFNG/IL10/IL1B/IL2/IL2RA/IL6/IL7/IL7R/TNF/VCAM1/CCL21/CD40LG/ICOS/KLRK1/CCR7",20
"GO:0002688","GO:0002688","regulation of leukocyte chemotaxis","14/80","126/18870",1.73759549019452e-16,2.32424082474115e-14,1.174074546758e-14,"CCL2/CCL5/CXCL10/CXCL8/EDN1/IL6/SERPINE1/CCL21/DUSP1/THBS1/KLRK1/CCL4/C5AR1/CCR7",14
"GO:0097529","GO:0097529","myeloid leukocyte migration","17/80","242/18870",1.93287110272357e-16,2.46792496706842e-14,1.24665562032123e-14,"CCL2/CCL5/CXCL10/CXCL8/EDN1/IL1B/IL6/SERPINE1/CCL21/CCL13/CXCL2/DUSP1/THBS1/S100A8/CCL4/C5AR1/CCR7",17
"GO:0071621","GO:0071621","granulocyte chemotaxis","14/80","130/18870",2.72050415090112e-16,3.32256354777445e-14,1.67837052421726e-14,"CCL2/CCL5/CXCL10/CXCL8/EDN1/IL1B/CCL21/CCL13/CXCL2/THBS1/S100A8/CCL4/C5AR1/CCR7",14
"GO:0030593","GO:0030593","neutrophil chemotaxis","13/80","107/18870",6.798987168184e-16,7.95764789809536e-14,4.019752062593e-14,"CCL2/CCL5/CXCL10/CXCL8/EDN1/IL1B/CCL21/CCL13/CXCL2/S100A8/CCL4/C5AR1/CCR7",13
"GO:0050863","GO:0050863","regulation of T cell activation","19/80","381/18870",1.51366740140383e-15,1.70075669221734e-13,8.59125750354679e-14,"CCL2/CCL5/CD80/CD83/CD86/IFNG/IL10/IL1B/IL2/IL2RA/IL6/IL7/IL7R/VCAM1/CCL21/CD40LG/ICOS/KLRK1/CCR7",19
"GO:0050920","GO:0050920","regulation of chemotaxis","16/80","232/18870",2.17603401462857e-15,2.35095367195832e-13,1.18756836101996e-13,"CCL2/CCL5/CXCL10/CXCL8/EDN1/IL6/SERPINE1/CCL21/CXCR4/DUSP1/THBS1/KLRK1/CCL4/C5AR1/SMOC2/CCR7",16
"GO:0097530","GO:0097530","granulocyte migration","14/80","156/18870",3.63249350834632e-15,3.77913861664623e-13,1.90900633499058e-13,"CCL2/CCL5/CXCL10/CXCL8/EDN1/IL1B/CCL21/CCL13/CXCL2/THBS1/S100A8/CCL4/C5AR1/CCR7",14
"GO:1990266","GO:1990266","neutrophil migration","13/80","129/18870",8.21516218484384e-15,8.24156806329512e-13,4.16317241547725e-13,"CCL2/CCL5/CXCL10/CXCL8/EDN1/IL1B/CCL21/CCL13/CXCL2/S100A8/CCL4/C5AR1/CCR7",13
"GO:0071674","GO:0071674","mononuclear cell migration","15/80","207/18870",8.52674998763536e-15,8.2591864535406e-13,4.17207222625498e-13,"CCL2/CCL5/CXCL10/IL6/SERPINE1/TNF/CCL21/CCL13/CXCR4/DUSP1/THBS1/KLRK1/CCL4/C5AR1/CCR7",15
"GO:0001819","GO:0001819","positive regulation of cytokine production","20/80","499/18870",1.56169008129828e-14,1.46226247945562e-12,7.38652010382483e-13,"CD80/CD83/CD86/IFNG/IL10/IL1B/IL2/IL6/IL7/SERPINE1/TNF/TNFRSF8/CD40LG/THBS1/CYP1B1/HSPA1A/C3/KLRK1/C5AR1/CCR7",20
"GO:0050921","GO:0050921","positive regulation of chemotaxis","13/80","145/18870",3.82432630389858e-14,3.46533309279068e-12,1.75048959512913e-12,"CCL5/CXCL10/CXCL8/EDN1/IL6/SERPINE1/CCL21/CXCR4/THBS1/CCL4/C5AR1/SMOC2/CCR7",13
"GO:0002685","GO:0002685","regulation of leukocyte migration","15/80","230/18870",4.05160147854778e-14,3.55654642288773e-12,1.79656539246132e-12,"CCL2/CCL5/CXCL10/CXCL8/EDN1/IL6/SERPINE1/TNF/CCL21/DUSP1/THBS1/KLRK1/CCL4/C5AR1/CCR7",15
"GO:0045765","GO:0045765","regulation of angiogenesis","17/80","349/18870",8.29232279331514e-14,7.0585256746734e-12,3.56556654717346e-12,"CXCL10/CXCL8/FASLG/IL10/IL1B/IL6/SERPINE1/TNF/CXCR4/THBS1/CYP1B1/CLDN5/C3/CCR3/ADM/C5AR1/SMOC2",17
"GO:1901342","GO:1901342","regulation of vasculature development","17/80","354/18870",1.04522750207864e-13,8.63542368629084e-12,4.36212592198762e-12,"CXCL10/CXCL8/FASLG/IL10/IL1B/IL6/SERPINE1/TNF/CXCR4/THBS1/CYP1B1/CLDN5/C3/CCR3/ADM/C5AR1/SMOC2",17
"GO:0071675","GO:0071675","regulation of mononuclear cell migration","12/80","125/18870",1.71609488838534e-13,1.37728872613555e-11,6.9572809309577e-12,"CCL2/CCL5/CXCL10/SERPINE1/TNF/CCL21/DUSP1/THBS1/KLRK1/CCL4/C5AR1/CCR7",12
"GO:0002690","GO:0002690","positive regulation of leukocyte chemotaxis","11/80","96/18870",2.5731321609455e-13,2.00775784447108e-11,1.01420530788144e-11,"CCL5/CXCL10/CXCL8/EDN1/IL6/SERPINE1/CCL21/THBS1/CCL4/C5AR1/CCR7",11
"GO:0010720","GO:0010720","positive regulation of cell development","18/80","444/18870",3.22773157670968e-13,2.45045891864256e-11,1.23783276398425e-11,"CD80/CD83/CD86/FOS/IFNG/IL10/IL1B/IL2/IL2RA/IL6/IL7/IL7R/TNF/CXCR4/CLDN5/SERPINE2/LIF/EGR2",18
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide","14/80","226/18870",6.2576437968909e-13,4.62571616459646e-11,2.33664926266175e-11,"CCL2/CD80/CD86/CXCL10/CXCL8/IL10/IL1B/IL6/MMP9/NFKBIA/SERPINE1/TNF/CXCL2/KLRK1",14
"GO:0071356","GO:0071356","cellular response to tumor necrosis factor","14/80","238/18870",1.2675450443036e-12,9.12957443448414e-11,4.61174283325575e-11,"CCL2/CCL5/CXCL8/EDN1/FOS/NFKBIA/TNF/VCAM1/CCL21/CCL13/THBS1/CYP1B1/HSPA1A/CCL4",14
"GO:0071219","GO:0071219","cellular response to molecule of bacterial origin","14/80","239/18870",1.34198192884183e-12,9.42406809529175e-11,4.76050431599681e-11,"CCL2/CD80/CD86/CXCL10/CXCL8/IL10/IL1B/IL6/MMP9/NFKBIA/SERPINE1/TNF/CXCL2/KLRK1",14
"GO:0002687","GO:0002687","positive regulation of leukocyte migration","12/80","149/18870",1.42606922929844e-12,9.77031332951056e-11,4.93540775633967e-11,"CCL5/CXCL10/CXCL8/EDN1/IL6/SERPINE1/TNF/CCL21/THBS1/CCL4/C5AR1/CCR7",12
"GO:0097305","GO:0097305","response to alcohol","14/80","254/18870",3.06547682498455e-12,2.05022009556705e-10,1.03565482708751e-10,"FOS/IL2/TNF/VCAM1/CCL21/A2M/CYP1B1/CLDN5/SPINK1/S100A8/SOD2/FBP1/CDK1/CCR7",14
"GO:0006959","GO:0006959","humoral immune response","14/80","258/18870",3.7867850937635e-12,2.47373937869341e-10,1.24959273106321e-10,"CCL2/CD83/CXCL10/CXCL8/IFNG/IL1B/IL6/IL7/TNF/CCL13/CXCL2/A2M/C3/CCR7",14
"GO:0034612","GO:0034612","response to tumor necrosis factor","14/80","259/18870",3.9899849446982e-12,2.54724266128574e-10,1.28672241757253e-10,"CCL2/CCL5/CXCL8/EDN1/FOS/NFKBIA/TNF/VCAM1/CCL21/CCL13/THBS1/CYP1B1/HSPA1A/CCL4",14
"GO:0071216","GO:0071216","cellular response to biotic stimulus","14/80","265/18870",5.43495100958353e-12,3.39261719687114e-10,1.71375765167687e-10,"CCL2/CD80/CD86/CXCL10/CXCL8/IL10/IL1B/IL6/MMP9/NFKBIA/SERPINE1/TNF/CXCL2/KLRK1",14
"GO:0002548","GO:0002548","monocyte chemotaxis","9/80","71/18870",1.67699951710777e-11,1.02406340077298e-09,5.1729870687901e-10,"CCL2/CCL5/CXCL10/IL6/SERPINE1/CCL21/CCL13/DUSP1/CCL4",9
"GO:0045766","GO:0045766","positive regulation of angiogenesis","12/80","185/18870",1.85728253096314e-11,1.04342132589509e-09,5.27077231944908e-10,"CXCL8/IL10/IL1B/SERPINE1/CXCR4/THBS1/CYP1B1/C3/CCR3/ADM/C5AR1/SMOC2",12
"GO:1902107","GO:1902107","positive regulation of leukocyte differentiation","12/80","185/18870",1.85728253096314e-11,1.04342132589509e-09,5.27077231944908e-10,"CD80/CD83/CD86/FOS/IFNG/IL10/IL2/IL2RA/IL7/IL7R/TNF/LIF",12
"GO:1903708","GO:1903708","positive regulation of hemopoiesis","12/80","185/18870",1.85728253096314e-11,1.04342132589509e-09,5.27077231944908e-10,"CD80/CD83/CD86/FOS/IFNG/IL10/IL2/IL2RA/IL7/IL7R/TNF/LIF",12
"GO:1904018","GO:1904018","positive regulation of vasculature development","12/80","185/18870",1.85728253096314e-11,1.04342132589509e-09,5.27077231944908e-10,"CXCL8/IL10/IL1B/SERPINE1/CXCR4/THBS1/CYP1B1/C3/CCR3/ADM/C5AR1/SMOC2",12
"GO:0071347","GO:0071347","cellular response to interleukin-1","10/80","111/18870",3.83170419923513e-11,2.1104425677748e-09,1.06607580197502e-09,"CCL2/CCL5/CXCL8/EDN1/IL1B/IL6/NFKBIA/CCL21/CCL13/CCL4",10
"GO:0002697","GO:0002697","regulation of immune effector process","15/80","389/18870",7.74216073173218e-11,4.18225567219917e-09,2.11263819157388e-09,"CD80/CD86/IFNG/IL10/IL1B/IL2/IL6/IL7R/TNF/TNFSF13/CD40LG/A2M/C3/KLRC2/KLRK1",15
"GO:2001233","GO:2001233","regulation of apoptotic signaling pathway","15/80","398/18870",1.06599263054974e-10,5.64976094191363e-09,2.85393856202791e-09,"ATF3/IER3/IL10/IL1B/IL7/MMP9/PMAIP1/SERPINE1/TNF/THBS1/HSPA1A/S100A8/SOD2/G0S2/PLAUR",15
"GO:0002544","GO:0002544","chronic inflammatory response","6/80","19/18870",1.2455469137308e-10,6.47915051975891e-09,3.27289910274681e-09,"CCL5/IL10/TNF/VCAM1/THBS1/S100A8",6
"GO:0032102","GO:0032102","negative regulation of response to external stimulus","16/80","481/18870",1.4923612911718e-10,7.62189612163923e-09,3.8501493215303e-09,"CCL2/EDN1/IER3/IL10/IL2/IL2RA/PLAU/SERPINE1/TNF/DUSP1/THBS1/A2M/SERPINE2/KLRK1/THBD/PLAUR",16
"GO:1903034","GO:1903034","regulation of response to wounding","11/80","173/18870",1.69342532517638e-10,8.49434239003654e-09,4.29085965852964e-09,"EDN1/IL10/PLAU/SERPINE1/TNF/CXCR4/THBS1/SERPINE2/THBD/PLAUR/SMOC2",11
"GO:0097191","GO:0097191","extrinsic apoptotic signaling pathway","12/80","229/18870",2.2269655146456e-10,1.09746423344552e-08,5.54376641503651e-09,"ATF3/FASLG/IFNG/IL1B/IL2/IL7/PMAIP1/SERPINE1/TNF/THBS1/HSPA1A/G0S2",12
"GO:0061041","GO:0061041","regulation of wound healing","10/80","133/18870",2.32840958773782e-10,1.12767285033716e-08,5.69636320194297e-09,"EDN1/PLAU/SERPINE1/TNF/CXCR4/THBS1/SERPINE2/THBD/PLAUR/SMOC2",10
"GO:0050727","GO:0050727","regulation of inflammatory response","15/80","425/18870",2.65637125497934e-10,1.26470285681982e-08,6.38856102000383e-09,"CCL5/IER3/IFNG/IL10/IL1B/IL2/IL2RA/IL6/MMP9/NFKBIA/SERPINE1/TNF/S100A8/C3/CCR7",15
"GO:0070555","GO:0070555","response to interleukin-1","10/80","140/18870",3.86571940800223e-10,1.80980096951305e-08,9.1420873017316e-09,"CCL2/CCL5/CXCL8/EDN1/IL1B/IL6/NFKBIA/CCL21/CCL13/CCL4",10
"GO:0002706","GO:0002706","regulation of lymphocyte mediated immunity","11/80","188/18870",4.12556912416251e-10,1.89979076553647e-08,9.59666467535991e-09,"CD80/IL10/IL1B/IL2/IL6/IL7R/TNF/TNFSF13/C3/KLRC2/KLRK1",11
"GO:0050671","GO:0050671","positive regulation of lymphocyte proliferation","10/80","145/18870",5.46148723667887e-10,2.4744060722308e-08,1.24992950679849e-08,"CCL5/CD80/CD86/IL1B/IL2/IL2RA/IL6/IL7/VCAM1/CD40LG",10
"GO:0042102","GO:0042102","positive regulation of T cell proliferation","9/80","105/18870",6.02861967985866e-10,2.68799883821e-08,1.35782444919791e-08,"CCL5/CD80/CD86/IL1B/IL2/IL2RA/IL6/VCAM1/CD40LG",9
"GO:0032946","GO:0032946","positive regulation of mononuclear cell proliferation","10/80","148/18870",6.67865750528439e-10,2.93130452067873e-08,1.4807286705795e-08,"CCL5/CD80/CD86/IL1B/IL2/IL2RA/IL6/IL7/VCAM1/CD40LG",10
"GO:0014823","GO:0014823","response to activity","8/80","72/18870",7.01093656264086e-10,3.02980320068587e-08,1.53048461318864e-08,"EDN1/FOS/IL10/IL6/TNF/CXCR4/SOD2/CDK1",8
"GO:0006809","GO:0006809","nitric oxide biosynthetic process","8/80","73/18870",7.84709750681024e-10,3.33977225706515e-08,1.68706338742906e-08,"EDN1/IFNG/IL10/IL1B/TNF/CYP1B1/SOD2/KLRK1",8
"GO:0050729","GO:0050729","positive regulation of inflammatory response","10/80","152/18870",8.67460640794603e-10,3.63686110446573e-08,1.83713581114081e-08,"IFNG/IL1B/IL2/IL6/NFKBIA/SERPINE1/TNF/S100A8/C3/CCR7",10
"GO:0061045","GO:0061045","negative regulation of wound healing","8/80","75/18870",9.78205941163834e-10,4.0408536598959e-08,2.04120992057097e-08,"EDN1/PLAU/SERPINE1/TNF/THBS1/SERPINE2/THBD/PLAUR",8
"GO:1901623","GO:1901623","regulation of lymphocyte chemotaxis","6/80","26/18870",1.0322978554799e-09,4.20249953049717e-08,2.12286423979696e-08,"CCL2/CCL5/CXCL10/CCL21/KLRK1/CCL4",6
"GO:0030195","GO:0030195","negative regulation of blood coagulation","7/80","48/18870",1.2054494254138e-09,4.76916540279912e-08,2.40911167599378e-08,"EDN1/PLAU/SERPINE1/THBS1/SERPINE2/THBD/PLAUR",7
"GO:0031295","GO:0031295","T cell costimulation","7/80","48/18870",1.2054494254138e-09,4.76916540279912e-08,2.40911167599378e-08,"CD80/CD86/CCL21/CD40LG/ICOS/KLRK1/CCR7",7
"GO:0046209","GO:0046209","nitric oxide metabolic process","8/80","78/18870",1.34568571300194e-09,5.2500432886423e-08,2.65202389053599e-08,"EDN1/IFNG/IL10/IL1B/TNF/CYP1B1/SOD2/KLRK1",8
"GO:1900047","GO:1900047","negative regulation of hemostasis","7/80","49/18870",1.40159686612812e-09,5.39326794103273e-08,2.72437285586259e-08,"EDN1/PLAU/SERPINE1/THBS1/SERPINE2/THBD/PLAUR",7
"GO:1903131","GO:1903131","mononuclear cell differentiation","15/80","481/18870",1.45684119027014e-09,5.48775916379646e-08,2.77210445852528e-08,"CD80/CD83/CD86/FOS/IFNG/IL10/IL1B/IL2/IL2RA/IL6/IL7/IL7R/VCAM1/CD40LG/CCR7",15
"GO:0002699","GO:0002699","positive regulation of immune effector process","12/80","270/18870",1.46522583583031e-09,5.48775916379646e-08,2.77210445852528e-08,"CD80/CD86/IFNG/IL10/IL1B/IL2/IL6/TNF/TNFSF13/C3/KLRC2/KLRK1",12
"GO:2001057","GO:2001057","reactive nitrogen species metabolic process","8/80","79/18870",1.49223033609227e-09,5.51536186063577e-08,2.78604777431078e-08,"EDN1/IFNG/IL10/IL1B/TNF/CYP1B1/SOD2/KLRK1",8
"GO:0070371","GO:0070371","ERK1 and ERK2 cascade","13/80","336/18870",1.54748138475346e-09,5.645292480224e-08,2.85168134880064e-08,"ATF3/CCL2/CCL5/EDN1/IL1B/TNF/CCL21/CCL13/LIF/CCL4/C5AR1/CDK1/CCR7",13
"GO:0031294","GO:0031294","lymphocyte costimulation","7/80","50/18870",1.62424677439127e-09,5.84937075546805e-08,2.95477011049856e-08,"CD80/CD86/CCL21/CD40LG/ICOS/KLRK1/CCR7",7
"GO:0042063","GO:0042063","gliogenesis","13/80","338/18870",1.66281543465445e-09,5.91246652651185e-08,2.98664251287702e-08,"CCL2/IFNG/IL1B/IL6/TNF/CXCR4/SERPINE2/LIF/S100A8/EGR2/AREG/C5AR1/CDK1",13
"GO:0071346","GO:0071346","cellular response to type II interferon","9/80","120/18870",1.99351625257197e-09,6.99973394184332e-08,3.53586830061449e-08,"CCL2/CCL5/EDN1/FASLG/IFNG/TNF/CCL21/CCL13/CCL4",9
