"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","27/69","298/8866",1.6049008112248e-22,2.88882146020463e-20,1.63868819672427e-20,"6347/6352/3627/3576/356/3458/3586/3553/3558/3559/3563/3569/3574/3575/7124/943/8741/6366/6357/959/2920/7852/3976/6351/1232/10663/1236",27
"hsa04061","Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","16/69","100/8866",2.32633152872252e-17,2.09369837585027e-15,1.1876534646636e-15,"6347/6352/3627/3576/3586/3558/3559/3569/7124/6366/6357/2920/7852/6351/1232/1236",16
"hsa05142","Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","14/69","103/8866",3.00587281880934e-14,1.80352369128561e-12,1.0230514506123e-12,"6347/6352/3576/356/2353/3458/3586/3553/3558/3569/4792/5054/7124/718",14
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","11/69","50/8866",8.12902689722847e-14,3.65806210375281e-12,2.07504107639779e-12,"6347/3576/3458/3586/3553/3569/7124/7412/959/7057/22914",11
"hsa04668","Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","13/69","119/8866",4.84376609446065e-12,1.54327976455417e-10,8.75427702700321e-11,"6347/6352/3627/1906/2353/3553/3569/4318/4792/7124/7412/2920/3976",13
"hsa04657","Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","12/69","95/8866",6.00164352882179e-12,1.54327976455417e-10,8.75427702700321e-11,"6347/3627/3576/2353/3458/3553/3569/4318/4792/7124/2920/6279",12
"hsa05323","Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","12/69","95/8866",6.00164352882179e-12,1.54327976455417e-10,8.75427702700321e-11,"6347/6352/941/942/3576/2353/3458/3553/3569/7124/8741/2920",12
"hsa05330","Human Diseases","Immune disease","hsa05330","Allograft rejection","9/69","39/8866",1.07592990836379e-11,2.42084229381853e-10,1.37322633041168e-10,"941/942/356/3458/3586/3558/7124/959/5551",9
"hsa05332","Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","9/69","45/8866",4.3369010957378e-11,8.67380219147561e-10,4.9202269741119e-10,"941/942/356/3458/3553/3558/3569/7124/5551",9
"hsa05417","Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","15/69","216/8866",6.89622923007581e-11,1.24132126141365e-09,7.04141300334057e-10,"6347/6352/3576/356/2353/3553/3569/4318/4792/7124/7412/959/2920/3303/6648",15
"hsa04672","Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","9/69","50/8866",1.1891842581019e-10,1.94593787689402e-09,1.10383610560655e-09,"941/942/3586/3558/3569/8741/959/7852/29851",9
"hsa04064","Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","11/69","105/8866",3.88805158481639e-10,5.83207737722459e-09,3.30825441865956e-09,"3576/3553/4792/5328/7124/7412/6366/6357/959/2920/6351",11
"hsa04620","Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","11/69","109/8866",5.84463365247387e-10,8.09256967265613e-09,4.5905219780564e-09,"6352/941/942/3627/3576/2353/3553/3569/4792/7124/6351",11
"hsa04940","Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","8/69","44/8866",1.25851640996034e-09,1.61809252709187e-08,9.17865351625212e-09,"941/942/356/3458/3553/3558/7124/5551",8
"hsa04062","Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","13/69","193/8866",2.18651136807745e-09,2.62381364169295e-08,1.48836212423518e-08,"6347/6352/3627/3576/4792/6366/6357/2920/7852/6351/1232/10663/1236",13
"hsa05134","Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","8/69","56/8866",9.36969368197127e-09,1.05409053922177e-07,5.97934399441588e-08,"3576/3553/3569/4792/7124/2920/3303/718",8
"hsa05143","Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","7/69","37/8866",1.08382752089638e-08,1.14758208094911e-07,6.50967613169965e-08,"356/3458/3586/3553/3569/7124/7412",7
"hsa04933","Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","9/69","101/8866",7.25050633580107e-08,7.25050633580107e-07,4.11286031913862e-07,"6347/3576/1906/3553/3569/5054/7124/7412/7056",9
"hsa05418","Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","10/69","141/8866",1.14831314939556e-07,1.08787561521684e-06,6.1709903319318e-07,"6347/1906/2353/3458/3553/4318/7124/7412/1843/7056",10
"hsa05320","Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","7/69","54/8866",1.6795142235948e-07,1.51156280123532e-06,8.57436208887873e-07,"941/942/356/3586/3558/959/5551",7
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","8/69","88/8866",3.48252140467393e-07,2.98501834686337e-06,1.69325602132016e-06,"5328/5054/2/5270/718/7056/5329/728",8
"hsa05164","Human Diseases","Infectious disease: viral","hsa05164","Influenza A","10/69","173/8866",7.76309281090787e-07,6.3516213907428e-06,3.60296651989504e-06,"6347/6352/3627/3576/356/3458/3553/3569/4792/7124",10
"hsa05135","Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","9/69","138/8866",1.06013264234216e-06,8.29669024441693e-06,4.70630967080961e-06,"6347/3576/2353/3586/3553/3558/3569/4792/7124",9
"hsa05163","Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","11/69","226/8866",1.14977393936823e-06,8.62330454526173e-06,4.8915821104701e-06,"6347/6352/3576/356/3553/3569/4792/7124/7852/6351/1232",11
"hsa04936","Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","9/69","144/8866",1.51572232723438e-06,1.09132007560875e-05,6.1905290838625e-06,"3576/356/3553/3569/4792/7124/2920/718/728",9
"hsa05171","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","11/69","238/8866",1.91195841620701e-06,1.32366351891255e-05,7.50850066283726e-06,"6347/3627/3576/2353/3553/3558/3569/4792/7124/718/728",11
"hsa05133","Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","7/69","78/8866",2.16203398689272e-06,1.44135599126181e-05,8.17611293288864e-06,"3576/2353/3586/3553/3569/7124/718",7
"hsa05140","Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","7/69","79/8866",2.35770743964251e-06,1.51566906834161e-05,8.5976549490723e-06,"2353/3458/3586/3553/4792/7124/718",7
"hsa04660","Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","8/69","122/8866",4.23232575880415e-06,2.62696081580947e-05,1.49014736335391e-05,"2353/3458/3586/3558/4792/7124/959/29851",8
"hsa04630","Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","9/69","168/8866",5.4346525406262e-06,3.26079152437572e-05,1.8496887594412e-05,"3458/3586/3558/3559/3563/3569/3574/3575/3976",9
"hsa05168","Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","9/69","182/8866",1.04240383980243e-05,6.05266745691732e-05,3.43338446386538e-05,"6347/6352/356/3458/3553/3569/4792/7124/718",9
"hsa05162","Human Diseases","Infectious disease: viral","hsa05162","Measles","8/69","139/8866",1.11446452742446e-05,6.05887037172106e-05,3.43690307635639e-05,"356/2353/3553/3558/3559/3569/4792/3303",8
"hsa05321","Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","6/69","66/8866",1.12113551910725e-05,6.05887037172106e-05,3.43690307635639e-05,"3458/3586/3553/3558/3569/7124",6
"hsa04640","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","7/69","100/8866",1.1444532924362e-05,6.05887037172106e-05,3.43690307635639e-05,"3553/3559/3563/3569/3574/3575/7124",7
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","7/69","103/8866",1.39070276270565e-05,7.15218563677193e-05,4.05708775887063e-05,"3576/3458/3586/3553/3569/7124/2920",7
"hsa04625","Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","7/69","105/8866",1.57806932324767e-05,7.89034661623837e-05,4.47581065365568e-05,"3586/3553/3558/3569/4792/7124/1959",7
"hsa04659","Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","7/69","109/8866",2.01578162764875e-05,9.80650521558852e-05,5.56275442053852e-05,"2353/3458/3553/3558/3559/3569/4792",7
"hsa05161","Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","8/69","163/8866",3.54504271492191e-05,0.000167923075969985,9.52546103455472e-05,"3576/356/2353/3569/4318/4792/7124/1959",8
"hsa04623","Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","6/69","83/8866",4.19876921549634e-05,0.000193789348407523,0.000109927291201928,"6352/3627/3553/3569/4792/6351",6
"hsa04210","Cellular Processes","Cell growth and death","hsa04210","Apoptosis","7/69","137/8866",8.76183326779377e-05,0.00039428249705072,0.00022365732288842,"356/2353/3563/4792/5366/7124/5551",7
"hsa04621","Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","8/69","189/8866",0.000101127164034175,0.000443972915271986,0.000251844285271244,"6347/6352/3576/3553/3569/4792/7124/2920",8
"hsa05322","Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","7/69","144/8866",0.00011988706253248,0.000513801696567771,0.000291454763550139,"941/942/3458/3586/7124/959/718",7
"hsa05167","Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","8/69","196/8866",0.00013027612416457,0.000545341915107503,0.000309345998628233,"942/3576/2353/3569/4792/2920/718/1232",8
"hsa05130","Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","8/69","203/8866",0.000166058937119418,0.000679332015488528,0.000385352078961328,"3576/356/2353/3553/3569/4792/7124/7122",8
"hsa04066","Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","6/69","110/8866",0.000202123193273995,0.000808492773095982,0.000458618707545674,"1906/3458/3569/5054/2034/7076",6
"hsa05145","Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","6/69","112/8866",0.000223035489895821,0.00087274756915756,0.000495067334551364,"3458/3586/4792/7124/959/3303",6
"hsa04514","Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecules","7/69","160/8866",0.000230655098836274,0.000883359952989986,0.000501087224795489,"941/942/6402/7412/959/29851/7122",7
"hsa04650","Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","6/69","134/8866",0.000585342268783412,0.00219503350793779,0.00124513596649103,"356/3458/7124/5551/3822/22914",6
"hsa04658","Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","5/69","93/8866",0.000754453589761918,0.00277146216647235,0.00157211596577671,"2353/3458/3558/3559/4792",5
"hsa04380","Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","6/69","143/8866",0.000824480144725692,0.00296812852101249,0.00168367524291352,"2353/3458/3553/4792/7124/11026",6
"hsa05170","Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","7/69","213/8866",0.00127704021465334,0.00450720075760001,0.0025567162192234,"356/2353/4792/7124/7852/200315/983",7
